Acousticness,Album,Album Type,Artist,Danceability,Date,Energy,Explicit,Genre,Instrumentalness,Key,Label,Length,Liveness,Loudness,Speechiness,Tempo,Track,Track Number,Valence
0.00793,Flicker (Deluxe),album,Niall Horan,0.721,2017-10-20,0.602,0.0,"['pop', 'post-teen pop']",1.17e-06,11.0,Capitol Records (US1A),223814.0,0.124,-7.06,0.0347,124.025,On The Loose,1.0,0.682
0.0465,Islah (Deluxe),album,Kevin Gates,0.823,2016-01-29,0.617,1.0,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,7.0,Bread Winners' Association/Atlantic,208440.0,0.11,-8.21,0.248,110.007,Time For That,6.0,0.304
0.46,Meat and Candy,album,Old Dominion,0.788,2015-11-06,0.488,0.0,"['contemporary country', 'country road']",4.52e-06,7.0,RCA Records Label Nashville,188960.0,0.0751,-7.319,0.0286,101.974,Nowhere Fast,6.0,0.48
0.0294,ARDIPITHECUS,album,Willow,0.757,2015-01-11,0.707,0.0,"['dance pop', 'escape room', 'indie r&b', 'pop', 'post-teen pop']",2.55e-05,3.0,Universal Music Group,196520.0,0.0969,-5.53,0.0279,100.982,Wait a Minute!,13.0,0.638
0.158,One Kiss (with Dua Lipa) [R3HAB Remix],single,Calvin Harris,0.59,2018-06-08,0.919,0.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",0.000214,9.0,Columbia,190866.0,0.0595,-3.314,0.146,126.926,One Kiss (with Dua Lipa) - R3HAB Remix,1.0,0.133
0.609,Coco (Original Motion Picture Soundtrack),compilation,Anthony Gonzalez,0.589,2017-11-10,0.501,0.0,[],1.46e-05,2.0,Walt Disney Records,112205.0,0.321,-7.502,0.138,126.848,Un Poco Loco,4.0,0.587
0.204,Fénix,album,Nicky Jam,0.685,2017-01-20,0.731,0.0,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",0.0,5.0,Sony Music Latin,221026.0,0.0722,-5.119,0.093,177.912,Si Tú La Ves,7.0,0.786
0.000796,Harder Than Ever,album,Lil Baby,0.797,2018-05-18,0.579,1.0,"['rap', 'southern hip hop', 'trap music']",2.7e-06,9.0,"Quality Control Music, LLC",198473.0,0.0878,-6.615,0.164,139.977,Cash,8.0,0.3
0.558,Teenage Emotions,album,Lil Yachty,0.684,2017-05-26,0.612,1.0,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",3.22e-06,6.0,"Quality Control Music, LLC",177720.0,0.162,-8.019,0.0374,137.945,Forever Young,10.0,0.688
0.151,The Sun's Tirade,album,Isaiah Rashad,0.706,2016-09-02,0.688,1.0,"['hip hop', 'indie r&b', 'pop rap', 'rap', 'underground hip hop']",0.0,1.0,Top Dawg Entertainment,330783.0,0.466,-6.357,0.269,125.966,Wat's Wrong (feat. Zacari & Kendrick Lamar),5.0,0.313
