Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
Post Malone,Paranoid,11.0,6.0,2018-05-12
Jordan Davis,Singles You Up,50.0,18.0,2018-02-17
5 Seconds Of Summer,Youngblood,96.0,1.0,2018-06-16
Ozuna & Romeo Santos,El Farsante,49.0,19.0,2018-02-10
Rich The Kid Featuring Kendrick Lamar,New Freezer,41.0,19.0,2018-02-10
Becky G + Natti Natasha,Sin Pijama,99.0,1.0,2018-06-16
Chris Lane Featuring Tori Kelly,Take Back Home Girl,92.0,2.0,2018-04-14
Kendrick Lamar & SZA,All The Stars,7.0,21.0,2018-01-20
Offset & Metro Boomin,Ric Flair Drip,13.0,31.0,2017-11-18
A$AP Rocky Featuring Moby,A$AP Forever,63.0,2.0,2018-04-21
Pusha T,Infrared,65.0,1.0,2018-06-09
"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,21.0,20.0,2018-01-27
Pusha T,If You Know You Know,73.0,1.0,2018-06-09
Pusha T Featuring Kanye West,What Would Meek Do?,75.0,1.0,2018-06-09
Shawn Mendes Featuring Khalid,Youth,23.0,18.0,2016-02-20
Jennifer Lopez Featuring DJ Khaled & Cardi B,Dinero,80.0,1.0,2018-06-09
Darius Rucker,For The First Time,58.0,10.0,2018-04-07
Luke Bryan,Most People Are Good,43.0,18.0,2018-02-10
Logic & Marshmello,Everyday,29.0,13.0,2015-06-20
Post Malone Featuring Swae Lee,Spoil My Night,15.0,5.0,2018-05-12
Panic! At The Disco,High Hopes,98.0,1.0,2018-06-09
XXXTENTACION,Moonlight,35.0,9.0,2017-07-29
Pusha T,The Games We Play,100.0,1.0,2018-06-09
Kevin Gates,Change Lanes,68.0,1.0,2018-06-02
Kris Wu,Like That,73.0,1.0,2018-06-02
Lil Baby,Southside,79.0,1.0,2018-06-02
Kevin Gates,Let It Sing,82.0,1.0,2018-06-02
Pharrell Williams x Camila Cabello,Sangria Wine,83.0,1.0,2018-06-02
NAV Featuring Travis Scott,Champion,86.0,1.0,2018-06-02
Lil Skies Featuring Landon Cube,Red Roses,69.0,20.0,2018-01-20
Post Malone,Stay,7.0,31.0,2017-03-18
J. Cole,ATM,6.0,5.0,2018-05-05
J. Cole,Kevin's Heart,8.0,5.0,2018-05-05
Meghan Trainor,No Excuses,46.0,12.0,2018-03-17
Bhad Bhabie Featuring Lil Yachty,Gucci Flip Flops,79.0,3.0,2018-05-19
YoungBoy Never Broke Again,Outside Today,31.0,19.0,2018-01-27
Sam Hunt,Downtown's Dead,98.0,1.0,2018-06-02
Backstreet Boys,Don't Go Breaking My Heart,99.0,1.0,2018-06-02
Migos,Stir Fry,8.0,21.0,2018-01-06
Reik Featuring Ozuna & Wisin,Me Niego,77.0,1.0,2018-05-26
Post Malone,Over Now,24.0,3.0,2018-05-12
Post Malone,Zack And Codeine,23.0,3.0,2018-05-12
Post Malone Featuring G-Eazy & YG,Same Bitches,20.0,3.0,2018-05-12
Tank,When We,78.0,20.0,2017-12-09
Carrie Underwood,Cry Pretty,48.0,3.0,2018-04-28
Post Malone,Takin' Shots,29.0,3.0,2018-05-12
Post Malone,92 Explorer,40.0,3.0,2018-05-12
Justin Timberlake Featuring Chris Stapleton,Say Something,9.0,16.0,2018-02-10
Cardi B Featuring 21 Savage,Bartier Cardi,14.0,20.0,2018-01-06
Nicki Minaj,Barbie Tingz,25.0,4.0,2018-04-21
Post Malone,Otherside,46.0,2.0,2018-05-12
Post Malone,Blame It On Me,47.0,2.0,2018-05-12
YoungBoy Never Broke Again,Diamond Teeth Samurai,59.0,5.0,2018-04-21
Mason Ramsey,Famous,34.0,14.0,2016-04-23
Cardi B Featuring SZA,I Do,23.0,5.0,2018-04-21
YoungBoy Never Broke Again,Preach,82.0,2.0,2015-02-28
Post Malone,Candy Paint,34.0,21.0,2017-11-11
Post Malone,Sugar Wraith,57.0,1.0,2018-05-12
J. Cole,Motiv8,15.0,2.0,2018-05-05
Post Malone,Jonestown (Interlude),73.0,1.0,2018-05-12
J. Cole,1985 (Intro To The Fall Off),20.0,2.0,2018-05-05
J. Cole,Photograph,10.0,30.0,2015-05-30
Kanye West Featuring T.I.,Ye vs The People,85.0,1.0,2018-05-12
