Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2.0,21.0,2017-07-08
Sam Hunt,Body Like A Back Road,6.0,41.0,2017-02-18
21 Savage & Metro Boomin,My Choppa Hate N****s,73.0,2.0,2017-11-18
Sam Smith Featuring Logic,Pray,55.0,2.0,2017-10-28
"21 Savage, Offset & Metro Boomin",Mad Stalkers,99.0,1.0,2017-11-25
Offset & Metro Boomin,Nightmare,100.0,1.0,2017-11-25
Khalid,Location,16.0,43.0,2017-01-28
Jon Pardi,Heartache On The Dance Floor,47.0,18.0,2017-07-22
Jacquees,B.E.D.,69.0,13.0,2017-08-26
"Quavo, Takeoff & Offset",Too Hotty,91.0,4.0,2017-10-28
Kenny Chesney,All The Pretty Girls,63.0,14.0,2017-08-19
Kip Moore,More Girls Like You,66.0,12.0,2017-09-02
Chris Brown Featuring Future & Young Thug,High End,82.0,2.0,2017-11-04
SZA Featuring Travis Scott,Love Galore,32.0,20.0,2017-07-01
Travis Scott,Butterfly Effect,51.0,22.0,2017-06-17
Future & Young Thug,No Cap,62.0,1.0,2017-11-11
Future,Feed Me Dope,68.0,1.0,2017-11-11
Wisin Featuring Ozuna,Escapate Conmigo,63.0,20.0,2017-07-01
Future & Young Thug,All Da Smoke,77.0,1.0,2017-11-11
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,44.0,20.0,2017-07-01
Future,4 Da Gang,92.0,1.0,2017-11-11
Liam Payne,Bedroom Floor,98.0,1.0,2017-11-11
Future & Young Thug,Three,100.0,1.0,2017-11-11
James Arthur,Say You Won't Let Go,11.0,52.0,2016-11-12
Cheat Codes Featuring Demi Lovato,No Promises,38.0,23.0,2017-06-03
Dustin Lynch,Small Town Boy,36.0,20.0,2017-06-24
Gucci Mane Featuring The Weeknd,Curve,67.0,3.0,2017-10-07
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,20.0,18.0,2017-07-08
Gucci Mane Featuring Slim Jxmmi & Young Dolph,Stunting Ain't Nuthin,95.0,1.0,2017-11-04
Jason Aldean,They Don't Know,67.0,12.0,2017-08-19
Billy Currington,Do I Make You Wanna,47.0,19.0,2017-07-01
Lin-Manuel Miranda Featuring Artists For Puerto Rico,Almost Like Praying,20.0,1.0,2017-10-28
Kendrick Lamar Featuring Rihanna,Loyalty.,14.0,26.0,2017-05-06
Maren Morris Featuring Vince Gill,Dear Hate,91.0,1.0,2017-10-28
A Boogie Wit da Hoodie,Say A',75.0,2.0,2017-10-21
BTS,DNA,67.0,4.0,2017-10-07
Childish Gambino,Redbone,12.0,44.0,2016-12-10
Bhad Bhabie,Hi Bich,68.0,1.0,2017-10-21
A Boogie Wit da Hoodie Featuring 21 Savage,Undefeated,84.0,1.0,2017-10-21
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,Beast Mode,86.0,1.0,2017-10-21
Brothers Osborne,It Ain't My Fault,79.0,16.0,2017-07-01
Old Dominion,No Such Thing As A Broken Heart,46.0,19.0,2017-06-17
Meek Mill Featuring Chris Brown & Ty Dolla $ign,Whatever You Need,51.0,13.0,2017-06-24
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,1.0,22.0,2017-05-20
Maluma,Felices Los 4,48.0,20.0,2017-06-03
Selena Gomez Featuring Gucci Mane,Fetish,27.0,12.0,2017-07-29
The Revivalists,Wish I Knew You,84.0,9.0,2017-08-19
Future,Mask Off,5.0,31.0,2017-03-11
"Lorde Featuring Khalid, Post Malone & SZA",Homemade Dynamite,92.0,1.0,2017-10-07
Midland,Drinkin' Problem,45.0,20.0,2017-05-27
XXXTENTACION,Everybody Dies In Their Nightmares,54.0,4.0,2017-09-16
Bhad Bhabie,These Heaux,77.0,3.0,2017-09-23
Metro Boomin Featuring Offset & Drake,No Complaints,71.0,5.0,2017-07-15
Playboi Carti,Magnolia,29.0,20.0,2017-05-20
Kane Brown,Found You,80.0,1.0,2017-09-30
Bruno Mars,Versace On The Floor,33.0,14.0,2016-12-10
Katy Perry Featuring Nicki Minaj,Swish Swish,46.0,10.0,2017-06-10
Lil Uzi Vert,444+222,60.0,3.0,2017-09-16
Dylan Scott,My Girl,39.0,20.0,2017-05-13
Hailee Steinfeld,Most Girls,58.0,16.0,2017-06-10
Lil Uzi Vert,Dark Queen,91.0,2.0,2017-09-16
Lil Uzi Vert Featuring Pharrell Williams,Neon Guts,79.0,2.0,2017-09-16
XXXTENTACION,Revenge,77.0,2.0,2017-09-16
Justin Moore,Somebody Else Will,59.0,13.0,2017-06-24
The Weeknd,Reminder,31.0,17.0,2016-12-17
DeJ Loaf,No Fear,100.0,1.0,2017-09-23
Kygo x Selena Gomez,It Ain't Me,10.0,29.0,2017-03-04
Kendrick Lamar,DNA.,4.0,20.0,2017-05-06
Lil Uzi Vert,Two,80.0,1.0,2017-09-16
Lil Uzi Vert,For Real,82.0,1.0,2017-09-16
Lil Uzi Vert Featuring The Weeknd,UnFazed,84.0,1.0,2017-09-16
Lil Uzi Vert,No Sleep Leak,90.0,1.0,2017-09-16
XXXTENTACION,Depression & Obsession,91.0,1.0,2017-09-16
XXXTENTACION,Save Me,94.0,1.0,2017-09-16
XXXTENTACION,Carry On,95.0,1.0,2017-09-16
Fifth Harmony Featuring Gucci Mane,Down,21.0,17.0,2017-02-04
Halsey,Now Or Never,17.0,20.0,2017-04-29
YFN Lucci Featuring PnB Rock,Everyday We Lit,33.0,20.0,2017-04-29
A Boogie Wit da Hoodie Featuring Kodak Black,Drowning,38.0,21.0,2017-04-22
Ed Sheeran,Castle On The Hill,6.0,33.0,2017-01-28
Lady Antebellum,You Look Good,59.0,20.0,2017-04-22
David Guetta Featuring Justin Bieber,2U,16.0,11.0,2017-07-01
Miley Cyrus,Younger Now,79.0,1.0,2017-09-09
RiceGum Featuring Alissa Violet,Its Every Night Sis,80.0,1.0,2017-09-09
The Chainsmokers,Honest,77.0,4.0,2017-08-19
Cole Swindell,Flatliner,56.0,18.0,2017-04-29
Rae Sremmurd,Perplexing Pegasus,84.0,3.0,2017-08-26
Chris Lane,For Her,92.0,4.0,2017-08-19
Kodak Black,Patty Cake,76.0,3.0,2017-08-26
2 Chainz Featuring Travis Scott,4 AM,55.0,12.0,2017-06-24
Chris Brown,Privacy,62.0,17.0,2017-05-20
"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",Know No Better,87.0,3.0,2017-06-24
Brett Young,In Case You Didn't Know,19.0,28.0,2017-02-25
Migos Featuring Gucci Mane,Slippery,29.0,21.0,2017-02-18
Thomas Rhett Featuring Maren Morris,Craving You,39.0,20.0,2017-04-22
Miley Cyrus,Malibu,10.0,15.0,2017-05-27
Selena Gomez,Bad Liar,20.0,14.0,2017-06-03
Tee Grizzley,First Day Out,48.0,20.0,2017-04-22
Wiz Khalifa Featuring Ty Dolla $ign,Something New,92.0,3.0,2016-03-26
Descendants 2 Cast,It's Goin' Down,77.0,4.0,2017-08-12
Nicky Jam,El Amante,92.0,15.0,2017-02-18
Playboi Carti Featuring Lil Uzi Vert,Wokeuplikethis*,76.0,10.0,2017-05-20
Julia Michaels,Issues,11.0,29.0,2017-02-11
Camila Cabello Featuring Quavo,OMG,81.0,1.0,2017-08-26
"China Anne McClain, Thomas Doherty & Dylan Playfair",What's My Name,61.0,3.0,2017-08-12
Future Featuring Nicki Minaj,You Da Baddest,38.0,2.0,2017-08-19
"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",Chillin' Like A Villain,95.0,1.0,2017-08-26
Ayo & Teo,Rolex,20.0,25.0,2017-03-04
Drake,Passionfruit,8.0,20.0,2017-04-08
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla,29.0,20.0,2017-04-08
"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",Subeme La Radio,81.0,9.0,2017-04-22
Florida Georgia Line Featuring Backstreet Boys,"God, Your Mama, And Me",46.0,19.0,2017-03-18
Linkin Park Featuring Kiiara,Heavy,45.0,19.0,2017-03-11
Kesha,Learn To Let Go,97.0,1.0,2017-08-19
Drake,Signs,36.0,6.0,2017-07-15
Linkin Park,In The End,2.0,39.0,2017-08-12
The Chainsmokers Featuring Halsey,Closer,1.0,52.0,2016-08-20
Keith Urban Featuring Carrie Underwood,The Fighter,38.0,23.0,2016-06-04
Meek Mill,Wins & Losses,79.0,1.0,2017-08-12
Meek Mill,1942 Flows,83.0,1.0,2017-08-12
Rascal Flatts,Yours If You Want It,71.0,10.0,2017-06-10
Romeo Santos,Imitadora,91.0,1.0,2017-08-12
JAY-Z,The Story Of O.J.,23.0,3.0,2017-07-29
Meek Mill Featuring Young Thug,We Ball,96.0,1.0,2017-08-12
Meek Mill Featuring Lil Uzi Vert,F**k That Check Up,97.0,1.0,2017-08-12
Meek Mill,Heavy Heart,99.0,1.0,2017-08-12
Migos Featuring Lil Uzi Vert,Bad And Boujee,1.0,36.0,2016-12-03
KYLE Featuring Lil Yachty,iSpy,4.0,30.0,2017-01-14
Bruno Mars,24K Magic,4.0,41.0,2016-10-29
JAY-Z,4:44,35.0,2.0,2017-07-29
Camila Cabello,Crying In The Club,47.0,9.0,2017-06-10
French Montana Featuring The Weeknd & Max B,A Lie,75.0,1.0,2017-08-05
Blake Shelton,Every Time I Hear That Song,56.0,11.0,2017-05-27
Jake Paul & Erika Costell Featuring Uncle Kade,Jerika,86.0,1.0,2017-08-05
Lady Gaga,The Cure,39.0,14.0,2017-05-06
AJR,Weak,73.0,11.0,2017-04-29
Kesha Featuring The Dap-Kings Horns,Woman,96.0,1.0,2017-08-05
Calvin Harris Featuring Future & Khalid,Rollin,62.0,4.0,2017-06-03
Kendrick Lamar,Element.,16.0,11.0,2017-05-06
Calvin Harris Featuring Frank Ocean & Migos,Slide,25.0,20.0,2017-03-18
"JAY-Z Featuring Damian ""Jr. Gong"" Marely",Bam,47.0,1.0,2017-07-29
Luke Combs,Hurricane,31.0,22.0,2017-03-04
JAY-Z Featuring Beyonce,Family Feud,51.0,1.0,2017-07-29
JAY-Z,Kill Jay Z,55.0,1.0,2017-07-29
JAY-Z Featuring Gloria Carter,Smile,56.0,1.0,2017-07-29
JAY-Z Featuring Frank Ocean,Caught Their Eyes,63.0,1.0,2017-07-29
JAY-Z,Marcy Me,90.0,1.0,2017-07-29
Zedd & Liam Payne,Get Low,61.0,9.0,2015-04-18
Travis Scott,Goosebumps,32.0,34.0,2016-09-24
Migos,T-Shirt,19.0,25.0,2016-03-19
Kodak Black,Tunnel Vision,6.0,20.0,2017-03-11
Harry Styles,Sign Of The Times,4.0,13.0,2017-04-29
"Tyler, The Creator",Who Dat Boy,87.0,1.0,2017-07-22
Drake Featuring Quavo & Travis Scott,Portland,9.0,16.0,2017-04-08
Russ,Losin Control,62.0,19.0,2017-03-18
Future Featuring YG,Extra Luv,99.0,1.0,2017-07-22
Dan + Shay,How Not To,57.0,14.0,2017-04-22
DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,Don't Quit,68.0,1.0,2017-07-15
DJ Khaled Featuring Drake,To The Max,53.0,4.0,2017-06-24
Darius Rucker,If I Told You,53.0,11.0,2017-04-29
"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",On Everything,88.0,1.0,2017-07-15
Maroon 5 Featuring Future,Cold,16.0,20.0,2017-03-04
2 Chainz x Gucci Mane x Quavo,Good Drank,70.0,16.0,2017-02-11
DJ Khaled Featuring Beyonce & JAY Z,Shining,57.0,14.0,2017-03-04
Alessia Cara,Scars To Your Beautiful,8.0,43.0,2016-09-17
XXXTENTACION,Look At Me!,34.0,20.0,2017-02-25
Zac Brown Band,My Old Man,68.0,4.0,2017-02-25
Trey Songz,Nobody Else But You,92.0,3.0,2017-06-24
Plies Featuring Kodak Black,Real Hitta,100.0,1.0,2017-07-08
Rae Sremmurd,Swang,26.0,26.0,2017-01-07
Katy Perry Featuring Migos,Bon Appetit,59.0,6.0,2017-05-20
Dierks Bentley,Black,56.0,19.0,2017-02-04
Josh Turner,Hometown Girl,56.0,16.0,2017-03-18
Drake,Gyalchester,29.0,11.0,2017-04-08
Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,9.0,27.0,2016-12-24
Lil Yachty Featuring Migos,Peek A Boo,78.0,4.0,2017-05-06
Gucci Mane Featuring Offset,Met Gala,88.0,2.0,2017-06-17
Martin Garrix & Dua Lipa,Scared To Be Lonely,76.0,14.0,2017-02-18
Rag'n'Bone Man,Human,74.0,7.0,2017-04-22
The Chainsmokers,Paris,6.0,20.0,2017-02-04
Bryson Tiller,Somethin Tells Me,74.0,1.0,2017-06-17
Shakira,Me Enamore,83.0,2.0,2017-06-03
Bryson Tiller,Self-Made,85.0,1.0,2017-06-17
Bryson Tiller,Don't Get Too High,89.0,1.0,2017-06-17
Bryson Tiller,Run Me Dry,91.0,1.0,2017-06-17
Martin Garrix x Troye Sivan,There For You,94.0,1.0,2017-06-17
Bryson Tiller,No Longer Friends,98.0,1.0,2017-06-17
Halsey Featuring Lauren Jauregui,Strangers,100.0,1.0,2017-06-17
Lauren Duski,Deja Vu,7.0,20.0,2016-10-01
Chris Blue,Money On You,66.0,1.0,2017-06-10
Katy Perry Featuring Skip Marley,Chained To The Rhythm,4.0,15.0,2017-03-04
Machine Gun Kelly Featuring Hailee Steinfeld,At My Best,60.0,8.0,2017-04-08
Lauren Duski,The Dance,92.0,1.0,2017-06-10
Lee Brice,Boy,94.0,1.0,2017-06-10
Chris Stapleton,Either Way,89.0,2.0,2017-05-27
Jason Aldean,Any Ol' Barstool,52.0,18.0,2017-02-11
Rihanna,Love On The Brain,5.0,31.0,2016-06-11
Gucci Mane Featuring Drake,Both,41.0,22.0,2017-01-07
The Weeknd Featuring Daft Punk,I Feel It Coming,4.0,26.0,2016-12-10
Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),2.0,23.0,2016-12-31
Big Sean,Bounce Back,6.0,28.0,2016-11-26
6LACK,Prblms,72.0,8.0,2017-04-01
Kelsea Ballerini,Yeah Boy,65.0,13.0,2017-03-04
G-Eazy & Kehlani,Good Life,59.0,5.0,2017-05-06
Flo Rida & 99 Percent,Cake,73.0,6.0,2017-04-29
Lauren Duski,Ghost In This House,98.0,1.0,2017-06-03
Logic,Everybody,59.0,2.0,2017-04-22
Lord Huron,The Night We Met,84.0,4.0,2017-05-06
Ed Sheeran,Galway Girl,53.0,5.0,2017-03-25
Big Sean,Moves,38.0,19.0,2017-01-14
Justin Timberlake,Can't Stop The Feeling!,1.0,52.0,2016-05-28
Kygo & Ellie Goulding,First Time,67.0,1.0,2017-05-20
Kendrick Lamar Featuring U2,XXX.,33.0,3.0,2017-05-06
Chris Brown Featuring Usher & Gucci Mane,Party,40.0,20.0,2017-01-07
Kendrick Lamar,Yah.,32.0,3.0,2017-05-06
Harry Styles,Sweet Creature,93.0,1.0,2017-05-20
Future Featuring Rihanna,Selfish,37.0,19.0,2016-11-26
Starley,Call On Me,65.0,18.0,2016-12-03
Dwayne Johnson,You're Welcome,65.0,13.0,2016-12-17
Lana Del Rey Featuring The Weeknd,Lust For Life,64.0,1.0,2017-05-13
Kendrick Lamar,Feel.,35.0,2.0,2017-05-06
Kendrick Lamar,Pride.,37.0,2.0,2017-05-06
Kendrick Lamar,Lust.,42.0,2.0,2017-05-06
Zayn Featuring PARTYNEXTDOOR,Still Got Time,66.0,3.0,2017-04-15
Lorde,Green Light,19.0,9.0,2017-03-18
Auli'i Cravalho,How Far I'll Go,41.0,20.0,2016-12-17
Paramore,Hard Times,90.0,1.0,2017-05-13
Kendrick Lamar,Fear.,50.0,2.0,2017-05-06
"Nicki Minaj, Drake & Lil Wayne",No Frauds,14.0,7.0,2017-04-01
Kendrick Lamar,God.,58.0,2.0,2017-05-06
Kendrick Lamar,Blood.,54.0,1.0,2017-05-06
Jon Pardi,Dirt On My Boots,37.0,20.0,2016-12-24
Kendrick Lamar,Duckworth.,63.0,1.0,2017-05-06
Luke Bryan,Fast,58.0,13.0,2017-02-11
Logic Featuring Damian Lemar Hudson,Black SpiderMan,87.0,1.0,2017-05-06
The Weeknd Featuring Daft Punk,Starboy,1.0,30.0,2016-10-08
Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,6.0,27.0,2016-10-29
Train,Play That Song,41.0,20.0,2016-12-10
Drake,Free Smoke,18.0,4.0,2017-04-08
Lauren Alaina,Road Less Traveled,67.0,12.0,2017-02-11
The Chainsmokers,The One,78.0,2.0,2017-04-22
Future,Draco,46.0,8.0,2017-03-11
Drake,Blem,38.0,4.0,2017-04-08
Michael Ray,Think A Little Less,54.0,16.0,2017-01-14
Drake,Teenage Fever,35.0,4.0,2017-04-08
Kenny Chesney,Bar At The End Of The World,92.0,1.0,2017-04-29
Lady Gaga,Million Reasons,4.0,20.0,2016-10-29
Adele,Water Under The Bridge,26.0,22.0,2015-12-12
Machine Gun Kelly x Camila Cabello,Bad Things,4.0,23.0,2016-11-05
Tim McGraw & Faith Hill,Speak To A Girl,61.0,2.0,2017-04-15
Miranda Lambert,Tin Man,75.0,1.0,2017-04-22
Kendrick Lamar,The Heart Part 4,22.0,2.0,2017-04-15
Drake Featuring 2 Chainz & Young Thug,Sacrifices,36.0,3.0,2017-02-25
Kodak Black Featuring Future,Conscience,93.0,1.0,2017-04-22
"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",Heatstroke,96.0,1.0,2017-04-22
Drake Featuring Jorja Smith & Black Coffee,Get It Together,45.0,2.0,2017-04-08
Drake Featuring Giggs,No Long Talk,40.0,2.0,2017-04-08
Drake Featuring Giggs,KMT,48.0,2.0,2017-04-08
Drake Featuring Sampha,4422,50.0,2.0,2017-04-08
Drake,Jorja Interlude,49.0,2.0,2017-04-08
Drake,Madiba Riddim,51.0,2.0,2017-04-08
Drake Featuring Young Thug,Ice Melts,62.0,2.0,2017-04-08
Drake,Do Not Disturb,60.0,2.0,2017-04-08
Drake Featuring Kanye West,Glow,54.0,2.0,2017-04-08
Drake,Can't Have Everything,82.0,2.0,2017-04-08
The Weeknd,Party Monster,16.0,19.0,2016-12-10
Drake,Nothings Into Somethings,61.0,2.0,2017-04-08
DJ Snake Featuring Justin Bieber,Let Me Love You,4.0,33.0,2016-05-07
Drake,Lose You,64.0,1.0,2017-04-08
Drake Featuring PARTYNEXTDOOR,Since Way Back,70.0,1.0,2017-04-08
Noah Cyrus Featuring Labrinth,Make Me (Cry),46.0,15.0,2016-12-17
Drake,Skepta Interlude,76.0,1.0,2017-04-08
Eric Church Featuring Rhiannon Giddens,Kill A Word,71.0,15.0,2016-11-26
Rick Ross Featuring Young Thug & Wale,Trap Trap Trap,97.0,1.0,2017-04-08
Rae Sremmurd Featuring Gucci Mane,Black Beatles,1.0,27.0,2016-10-01
twenty one pilots,Heathens,2.0,39.0,2016-07-09
Amine,Caroline,11.0,28.0,2016-09-24
Nicki Minaj,Regret In Your Tears,61.0,1.0,2017-04-01
Little Big Town,Better Man,34.0,20.0,2016-11-19
Nicki Minaj & Lil Wayne,Changed It,71.0,1.0,2017-04-01
Frank Ocean,Chanel,72.0,1.0,2017-04-01
Lorde,Liability,78.0,1.0,2017-04-01
Bebe Rexha,I Got You,43.0,11.0,2017-01-21
Ed Sheeran,Dive,49.0,2.0,2017-03-25
Chris Young Featuring Vince Gill,Sober Saturday Night,47.0,11.0,2017-01-21
Brad Paisley,Today,67.0,11.0,2016-10-29
Ed Sheeran,Happier,59.0,2.0,2017-03-25
Future Featuring The Weeknd,Comin Out Strong,48.0,3.0,2017-03-18
Shakira Featuring Maluma,Chantaje,51.0,18.0,2016-11-19
Jon Bellion,All Time Low,16.0,22.0,2016-10-29
Ariana Grande Featuring Nicki Minaj,Side To Side,4.0,28.0,2016-09-17
Ed Sheeran,New Man,72.0,1.0,2017-03-25
Ed Sheeran,Supermarket Flowers,75.0,1.0,2017-03-25
Ed Sheeran,What Do I Know?,83.0,1.0,2017-03-25
Ed Sheeran,How Would You Feel (Paean),41.0,2.0,2017-03-11
Ed Sheeran,Eraser,90.0,1.0,2017-03-25
Future Featuring Drake,Used To This,14.0,18.0,2016-11-26
Ed Sheeran,Hearts Don't Break Around Here,93.0,1.0,2017-03-25
Ed Sheeran,Barcelona,96.0,1.0,2017-03-25
Thomas Rhett,Star Of The Show,45.0,19.0,2016-11-19
Blake Shelton,A Guy With A Girl,42.0,17.0,2016-12-03
Shawn Mendes,Treat You Better,6.0,39.0,2016-06-25
DJ Suede The Remix God,Cash Me Outside (#CashMeOutside),72.0,3.0,2017-03-04
Lana Del Rey,Love,44.0,2.0,2017-03-11
21 Savage & Metro Boomin,No Heart,43.0,19.0,2016-11-12
Gucci Mane & Nicki Minaj,Make Love,78.0,1.0,2017-03-18
John Legend,Love Me Now,23.0,19.0,2016-10-29
PARTYNEXTDOOR,Not Nice,82.0,7.0,2017-02-04
D.R.A.M. Featuring Lil Yachty,Broccoli,5.0,37.0,2016-07-02
Niall Horan,This Town,20.0,22.0,2016-10-15
Future,Rent Money,54.0,1.0,2017-03-11
Hey Violet,Guys My Age,68.0,5.0,2017-02-11
Dustin Lynch,Seein' Red,55.0,9.0,2017-01-14
Future,Super Trapper,91.0,1.0,2017-03-11
Calum Scott,Dancing On My Own,93.0,2.0,2017-02-11
Big Sean Featuring Eminem,No Favors,22.0,3.0,2017-02-25
Future,Zoom,99.0,1.0,2017-03-11
Hailee Steinfeld & Grey Featuring Zedd,Starving,12.0,29.0,2016-08-20
Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),5.0,21.0,2016-10-08
Nick Jonas & Nicki Minaj,Bom Bidi Bom,54.0,1.0,2017-03-04
Sia,Helium,71.0,1.0,2017-03-04
Romeo Santos,Heroe Favorito,77.0,1.0,2017-03-04
Kaleo,Way Down We Go,54.0,8.0,2017-01-14
Kodak Black,Everything 1K,84.0,1.0,2017-03-04
Brett Eldredge,Wanna Be That Song,46.0,20.0,2016-10-22
Rihanna,Sex With Me,83.0,15.0,2016-08-06
G-Eazy Featuring Marc E. Bassy,Some Kind Of Drug,97.0,3.0,2017-02-18
Sia Featuring Sean Paul,Cheap Thrills,1.0,52.0,2016-03-05
The Chainsmokers Featuring Daya,Don't Let Me Down,3.0,52.0,2016-02-27
Sia Featuring Kendrick Lamar,The Greatest,18.0,23.0,2016-09-24
Lady Gaga,Bad Romance,2.0,35.0,2017-02-25
Fitz And The Tantrums,HandClap,53.0,20.0,2016-10-15
Big Sean,Halfway Off The Balcony,74.0,1.0,2017-02-25
Big Sean,Jump Out The Window,76.0,1.0,2017-02-25
Big Sean,Owe Me,86.0,1.0,2017-02-25
Ariana Grande & John Legend,Beauty And The Beast,87.0,1.0,2017-02-25
Mariah Carey Featuring YG,I Don't,89.0,1.0,2017-02-25
Maren Morris,80s Mercedes,74.0,13.0,2016-11-05
Sage The Gemini,Now & Later,93.0,1.0,2017-02-25
Big Sean Featuring Jeremih,Light,97.0,1.0,2017-02-25
Migos Featuring Travis Scott,Kelly Price,58.0,2.0,2017-02-18
Keith Urban,Blue Ain't Your Color,24.0,21.0,2016-10-01
Migos,Call Casting,62.0,1.0,2017-02-18
Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,Run Up,66.0,1.0,2017-02-18
Missy Elliott Featuring Lamb,I'm Better,71.0,1.0,2017-02-18
Migos,Get Right Witcha,72.0,1.0,2017-02-18
Granger Smith,If The Boot Fits,80.0,3.0,2017-01-28
Carrie Underwood,Dirty Laundry,48.0,16.0,2016-11-05
Andy Grammer,Fresh Eyes,59.0,18.0,2016-10-22
Migos Featuring DJ Khaled,Culture,93.0,1.0,2017-02-18
Rob $tone Featuring J. Davi$ & Spooks,Chill Bill,29.0,26.0,2016-08-20
Major Lazer Featuring Justin Bieber & MO,Cold Water,2.0,27.0,2016-08-13
John Mayer,Love On The Weekend,53.0,2.0,2016-12-10
Drake Featuring 21 Savage,Sneakin',28.0,14.0,2016-11-12
Old Dominion,Song For Another Time,59.0,18.0,2016-10-15
Flume Featuring Tove Lo,Say It,23.0,24.0,2015-11-07
Ugly God,Water,80.0,4.0,2017-01-21
Wale Featuring Lil Wayne,Running Back,100.0,1.0,2017-02-11
Lil Uzi Vert,You Was Right,40.0,28.0,2016-07-30
Martin Garrix & Bebe Rexha,In The Name Of Love,24.0,23.0,2016-09-03
Halsey,Not Afraid Anymore,77.0,1.0,2017-02-04
21 Savage,Red Opps,74.0,5.0,2017-01-07
J. Cole,Neighbors,13.0,6.0,2016-12-31
A Boogie Wit da Hoodie Featuring DJ SPINKING,Timeless,86.0,4.0,2017-01-14
Chris Stapleton,Parachute,78.0,5.0,2016-12-10
The Chainsmokers Featuring Phoebe Ryan,All We Know,18.0,16.0,2016-10-22
Steve Aoki & Louis Tomlinson,Just Hold On,52.0,6.0,2016-12-31
Travis Scott,Beibs In The Trap,90.0,3.0,2017-01-21
A Boogie Wit da Hoodie,My Sh*t,86.0,12.0,2016-11-05
Young M.A,OOOUUU,19.0,20.0,2016-09-17
gnash Featuring Olivia O'Brien,I Hate U I Love U,10.0,39.0,2016-05-07
Florida Georgia Line Featuring Tim McGraw,May We All,30.0,20.0,2016-09-17
Brett Young,Sleep Without You,47.0,18.0,2016-10-01
Sam Hunt,Drinkin' Too Much,89.0,1.0,2017-01-28
J. Cole,Immortal,11.0,5.0,2016-12-31
Russ,What They Want,83.0,8.0,2016-11-12
X Ambassadors,Unsteady,20.0,34.0,2016-06-04
DJ ESCO Featuring Future & Lil Uzi Vert,Too Much Sauce,50.0,20.0,2016-09-10
Tim McGraw,How I'll Always Be,70.0,12.0,2016-11-05
Pentatonix,Hallelujah,23.0,11.0,2015-05-09
Daddy Yankee,Shaky Shaky,88.0,2.0,2017-01-14
YFN Lucci Featuring Migos & Trouble,Key To The Streets,70.0,11.0,2016-10-08
Opetaia Foa'i & Lin-Manuel Miranda,We Know The Way,93.0,2.0,2016-12-17
Wham! Featuring George Michael,Careless Whisper,1.0,22.0,2017-01-14
George Michael,Faith,1.0,21.0,2017-01-14
Young Thug And Travis Scott Featuring Quavo,Pick Up The Phone,43.0,20.0,2016-09-03
Kodak Black,No Flockin,95.0,1.0,2017-01-14
Nicki Minaj X Mike WiLL Made-It,Black Barbies,65.0,2.0,2016-12-24
Olivia O'Brien,Hate U Love U,99.0,1.0,2017-01-14
Pentatonix,"Mary, Did You Know?",26.0,7.0,2015-01-03
"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,27.0,20.0,2016-08-27
Lil Yachty,1 Night,49.0,20.0,2016-08-13
J. Cole,Change,21.0,2.0,2016-12-31
J. Cole,She's Mine Pt.1,22.0,2.0,2016-12-31
J. Cole,Ville Mentality,24.0,2.0,2016-12-31
J. Cole,For Whom The Bell Tolls,23.0,2.0,2016-12-31
The Weeknd,Six Feet Under,34.0,4.0,2016-12-17
The Weeknd Featuring Kendrick Lamar,Sidewalks,27.0,4.0,2016-12-17
J. Cole,Foldin Clothes,30.0,2.0,2016-12-31
J. Cole,4 Your Eyez Only,29.0,1.0,2016-12-31
J. Cole,She's Mine Pt. 2,34.0,1.0,2016-12-31
J. Cole,False Prophets,54.0,2.0,2016-12-24
J. Cole,Everybody Dies,57.0,1.0,2016-12-31
PARTYNEXTDOOR Featuring Drake,Come And See Me,55.0,24.0,2016-04-23
Sundance Head,Darlin' Don't Go,67.0,1.0,2016-12-31
Sundance Head,At Last,89.0,1.0,2016-12-31
Kenny Chesney Featuring P!nk,Setting The World On Fire,29.0,20.0,2016-08-20
The Weeknd,Die For You,43.0,3.0,2016-12-17
